Date,Close,Volatility,Volume,Libor,US 10y Treasury yield,CBOE VIX,WTI Crude Oil Futures,Gold
2022-04-18,17173.65,19.8,376130240,#N/A,2.8527,1690.58887,8251.63,1978.91
2022-04-13,17475.65,19.09,245061936,1.04429,2.6987,1659.83655,7930.25,1977.8
2022-04-12,17530.3,19.43,266029056,1.03843,2.7213,1845.80518,7654.08,1966.76
2022-04-11,17674.95,19.29,251701840,1.02143,2.7801,1849.39294,7155.49,1953.52
2022-04-08,17784.35,20.29,274447424,1.01071,2.7,1606.68298,7460.9,1947.54
2022-04-07,17639.55,25.51,308840224,0.98886,2.6578,1636.18164,7291.07,1931.86
2022-04-06,17807.65,25.31,328824416,0.98643,2.5975,1678.59888,7309.12,1925.35
2022-04-05,17957.4,25.25,283453600,0.96657,2.5469,1585.86182,7688.75,1923.6
2022-04-04,18053.4,25.22,345526496,0.969,2.3951,1400.94495,7791.58,1932.73
2022-04-01,17670.45,24.47,291773440,0.962,2.3822,1490.87891,7539.46,1925.68
2022-03-31,17464.75,24.23,281111680,0.96157,2.338,1560.77332,7612.57,1937.44
2022-03-30,17498.25,24.23,505031840,0.96686,2.3488,1465.56384,8174.71,1932.87
2022-03-29,17325.3,25.65,235149632,1.006,2.3944,1428.17847,7876.9,1919.43
2022-03-28,17222,27.33,253240832,0.99629,2.4585,1493.98047,8064.3,1922.8
2022-03-25,17153,27.56,237115744,0.98286,2.4731,1587.59485,8689.43,1958.29
2022-03-24,17222.75,27.67,290280128,0.96557,2.3718,1653.11768,8569.97,1957.69
2022-03-23,17245.65,27.9,292120352,0.96571,2.2917,1804.37781,8798.35,1943.86
2022-03-22,17315.5,27.88,338263456,0.95371,2.3825,1745.9519,8506,1921.69
2022-03-21,17117.6,28.14,285451200,0.95757,2.2896,1794.25659,8549.6,1935.91
2022-03-17,17287.05,28.01,448335232,0.92786,2.1706,1949.75208,7821.79,1942.89
2022-03-16,16975.35,27.6,259973392,0.94814,2.1849,2032.526,7243.02,1927.29
2022-03-15,16663,27.2,381631904,0.91643,2.1437,2279.34619,7369.1,1917.94
2022-03-14,16871.3,27.37,314669696,0.88471,2.133,2431.45337,7883.66,1950.88
2022-03-11,16630.45,27.35,343717056,0.826,1.9917,2357.27661,8381.17,1988.46
2022-03-10,16594.9,27.33,486445472,0.80286,1.9864,2309.19409,8098.6,1996.98
2022-03-09,16345.35,26.97,462231424,0.745,1.9531,2475.64941,8292.85,1991.83
2022-03-08,16013.45,26.24,543600704,0.703,1.8456,2704.79565,9524.15,2050.76
2022-03-07,15863.15,26.97,585403648,0.64286,1.7734,2804.47388,9186.67,1998.11
